"","aoi_id","aoi_name","section_id","recording_id","fixation_id","fixation_duration.ms","folder"
"955","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","05583735-9012-4eb5-910d-427bed493eda","ac37ef44-bbd6-408d-88f6-70d72dba0f61","111","2676","21-mY_csv"
"956","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","0c2e60c9-0fed-4ae8-b26d-967ba0b130f6","f9aa1034-d3ff-4dba-843c-a258af650bac","115","8304","21-mY_csv"
"957","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","88d3a9b6-4952-4caf-9d89-e99387342ef3","edfd72ca-9589-4a04-9486-9a2fcfa47ffe","63","13264","21-mY_csv"
"958","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","13dcf30f-e241-4076-a6eb-a83e4e6a8e33","9f24e973-c285-426a-bb25-b3fa4b54fe87","141","1112","21-mY_csv"
"959","fb88b06b-a321-4625-b6ff-a5321ad231d2","hands","13dcf30f-e241-4076-a6eb-a83e4e6a8e33","9f24e973-c285-426a-bb25-b3fa4b54fe87","142","216","21-mY_csv"
"960","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","a87177b6-8a80-4c22-9ba0-df831cc83f2b","2f0303ee-c900-494b-b4e9-29fd3dacbbbd","53","1864","21-mY_csv"
"961","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","b0524cc4-d2c2-46a7-a66f-37a247f53515","00598c81-108a-4a39-9256-7e431145ca7b","194","496","21-mY_csv"
"962","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","b0524cc4-d2c2-46a7-a66f-37a247f53515","00598c81-108a-4a39-9256-7e431145ca7b","196","676","21-mY_csv"
"963","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","54bc9a99-78f1-4638-aaf5-ffc204fba803","34b59526-a8ca-4be9-a6a8-b46490bf9c98","48","6428","21-mY_csv"
"964","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","24de8819-c0cc-4efc-b2d8-0053d577164c","7fe66918-fc48-4435-9aa2-fbdd31ecc621","93","6614","21-mY_csv"
"965","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","0b1236c6-c054-4804-9877-8cd3d4b908b5","8fecd5d3-09af-4f40-95bc-1c76b4adf438","261","588","21-mY_csv"
"966","fb88b06b-a321-4625-b6ff-a5321ad231d2","hands","0b1236c6-c054-4804-9877-8cd3d4b908b5","8fecd5d3-09af-4f40-95bc-1c76b4adf438","262","236","21-mY_csv"
"967","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","45cf6e73-c9d9-4baa-9171-5beb55b850ac","a0a49152-c90b-4e5d-bb89-a29782681145","128","1585","21-mY_csv"
"968","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","45cf6e73-c9d9-4baa-9171-5beb55b850ac","a0a49152-c90b-4e5d-bb89-a29782681145","129","720","21-mY_csv"
"969","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","b1922f02-945e-4b41-9555-879a38ee4b0f","a92229a7-2f88-4b32-ba22-2ef9c7466682","55","7400","21-mY_csv"
"970","3f7e0edc-4211-4946-b2d1-88196067c7e1","face","c26981ac-b16e-4bc4-9a21-5ab2ffd7d1ce","b6ca3931-cd61-4af4-9eee-e9ee21c69215","132","1612","21-mY_csv"
"971","fb88b06b-a321-4625-b6ff-a5321ad231d2","hands","c26981ac-b16e-4bc4-9a21-5ab2ffd7d1ce","b6ca3931-cd61-4af4-9eee-e9ee21c69215","130","516","21-mY_csv"
