"","section id","recording id","fixation id","start timestamp [ns]","end timestamp [ns]","duration [ms]","fixation status","fixation x [px]","fixation y [px]","gesture_id","gesture_type","gesture_match","folder"
"100","2ca404b9-2bdf-4698-8529-1c2936f32081","c72918b2-d44b-49a7-8fec-497a537031a9",31,1744042265479444224,1744042270779631104,5300,"TRUE",1025,375,"03","m","Y","03-mY_csv"
"101","2f9d2638-1b92-42a6-96b4-f38d551540be","75628abf-e24a-4c66-a8b7-72b986bed632",54,1744041708286533632,1744041708378553856,92,"TRUE",888,663,"03","m","Y","03-mY_csv"
"102","2f9d2638-1b92-42a6-96b4-f38d551540be","75628abf-e24a-4c66-a8b7-72b986bed632",55,1744041708434585856,1744041710238595840,1804,"TRUE",1025,363,"03","m","Y","03-mY_csv"
"103","6c0e23d4-c5fd-4c3b-8527-96313b102a8c","595d3820-9d36-4254-9889-fb4aa7b03ca8",29,1744467598976522496,1744467604708771584,5732,"TRUE",966,468,"03","m","Y","03-mY_csv"
"104","0bab5927-b665-43d8-9d60-2a3ea35f3c5c","5ac97dae-915d-4ebe-bf09-6dd8a6e1237e",14,1744467987128704256,1744467989340805376,2212,"TRUE",951,407,"03","m","Y","03-mY_csv"
"105","0bab5927-b665-43d8-9d60-2a3ea35f3c5c","5ac97dae-915d-4ebe-bf09-6dd8a6e1237e",15,1744467989496741376,1744467992996830464,3500,"TRUE",925,427,"03","m","Y","03-mY_csv"
"106","8a80dfff-7b04-4367-8be9-567834c54908","bda32afb-bb0e-47d2-9a00-580011782b8f",39,1744467286686557184,1744467286974558976,288,"TRUE",939,434,"03","m","Y","03-mY_csv"
"107","8a80dfff-7b04-4367-8be9-567834c54908","bda32afb-bb0e-47d2-9a00-580011782b8f",40,1744467287046561024,1744467287278561792,232,"TRUE",927,824,"03","m","Y","03-mY_csv"
"108","8a80dfff-7b04-4367-8be9-567834c54908","bda32afb-bb0e-47d2-9a00-580011782b8f",41,1744467287342725120,1744467287950576896,608,"TRUE",969,431,"03","m","Y","03-mY_csv"
"109","1c48a1d4-1e3a-4ed4-a247-1794bf622130","ac37ef44-bbd6-408d-88f6-70d72dba0f61",35,1745508111420601600,1745508113856579840,2436,"TRUE",1032,368,"03","m","Y","03-mY_csv"
"110","5395abc1-173c-4690-b421-eff51d9adfc6","f9aa1034-d3ff-4dba-843c-a258af650bac",45,1747325340855728896,1747325341567710720,712,"TRUE",969,385,"03","m","Y","03-mY_csv"
"111","5395abc1-173c-4690-b421-eff51d9adfc6","f9aa1034-d3ff-4dba-843c-a258af650bac",46,1747325341611704832,1747325341883692800,272,"TRUE",986,622,"03","m","Y","03-mY_csv"
